"date","RENAULT  AHORN","RENAULT  CAPTUR","RENAULT  CLIO","RENAULT  CLIO SIMBOL","RENAULT  CLIO SOCIETE","RENAULT  DOKKER","RENAULT  DUSTER","RENAULT  ESPACE","RENAULT  FLUENCE","RENAULT  GRAND MODUS","RENAULT  GRAND SCENIC","RENAULT  KADJAR","RENAULT  KANGOO","RENAULT  KOLEOS","RENAULT  LAGUNA","RENAULT  LAGUNA 1.5","RENAULT  LAGUNA BREAK 2.0","RENAULT  LATITUDE","RENAULT  LODGY","RENAULT  LOGAN","RENAULT  MASTER","RENAULT  MEGANE","RENAULT  MEGANE SCENIC","RENAULT  MODUS","RENAULT  NY CLIO","RENAULT  SANDERO","RENAULT  SCENIC","RENAULT  SYMBOL","RENAULT  TALISMAN","RENAULT  THALIA","RENAULT  TRAFIC","RENAULT  TWINGO","RENAULT  TWINGO 1.2","RENAULT  WIND","RENAULT  ZOE"
"2017-01",0,76,46,0,0,488,973,0,148,0,5,111,75,6,54,4,1,0,21,1510,7,3778,175,3,0,362,30,0,0,0,47,1,0,0,0
"2017-02",0,61,56,0,0,137,1690,0,13,0,40,59,183,10,122,22,0,1,7,2747,1,11164,251,0,0,298,115,0,0,0,74,3,1,0,0
"2017-03",0,190,73,1,0,287,2789,3,18,0,45,167,314,15,144,18,1,3,49,3083,2,16355,410,2,0,1893,260,0,0,0,96,0,2,0,1
"2017-04",0,136,83,0,0,235,3936,1,27,0,80,62,284,11,204,20,1,3,85,3286,8,17522,837,2,0,1236,146,0,0,2,121,2,2,0,0
"2017-05",0,113,534,0,0,279,3026,8,5,1,32,53,324,17,225,6,0,0,61,4273,6,17590,456,3,1,865,150,0,0,1,126,7,2,0,0
"2017-06",0,134,437,0,0,142,1800,3,8,0,39,49,236,6,196,0,0,1,83,8691,13,15253,591,3,0,596,139,0,0,0,193,4,0,0,0
"2017-07",1,143,468,0,0,291,2747,3,8,0,33,51,596,22,289,0,0,2,70,2579,5,18765,789,10,0,408,234,0,1,6,94,9,0,0,0
"2017-08",0,80,263,0,0,344,3538,2,7,0,32,34,335,22,208,0,0,1,30,2807,8,18953,728,5,0,1177,123,0,0,1,123,2,0,0,0
"2017-09",0,82,358,0,0,126,3450,1,10,0,38,72,424,18,209,0,0,1,153,4082,8,19918,818,5,0,376,190,0,0,1,186,5,0,0,1
"2017-10",0,56,287,0,0,300,2900,9,9,0,40,59,455,10,337,0,0,2,50,3217,12,18851,798,16,0,289,225,0,0,2,135,9,0,0,0
"2017-11",0,72,415,0,1,176,4803,2,5,0,44,67,584,68,219,0,0,0,36,2413,15,22964,1219,6,0,1170,126,1,0,2,164,9,0,0,0
"2017-12",0,120,382,0,1,437,8970,9,30,0,33,64,567,71,230,0,0,0,59,3620,18,26596,958,16,0,1945,230,0,5,0,464,4,0,1,0
"2018-01",0,67,273,0,0,183,3340,2,4,0,10,62,642,24,232,0,0,1,12,1488,17,13891,575,2,0,558,93,0,2,0,247,5,0,0,0
"2018-02",0,43,339,0,0,70,2191,4,18,0,32,54,330,41,138,0,0,0,39,1303,12,15928,813,8,0,1439,78,0,0,7,111,3,0,0,1
"2018-03",0,1,66,0,0,21,120,3,2,0,18,11,26,1,33,0,0,0,6,151,0,3987,77,0,0,153,62,0,0,0,9,0,0,0,0
